Average of full_day,Column Labels,,,,,
Row Labels,3,4,23,33,555,Grand Total
18,43276.0373,14031.80025,7492.799611,25641.94753,6369.277193,22168.47393
19,17093.5712,14554.43592,7592.964401,24188.82692,5510.5,16262.34662
20,20862.13039,8659.726378,7266.821321,91767.07431,5648.989781,38993.2898
21,12152.38,13964.92742,7739.727468,27657.86554,,20728.30167
22,11699.82276,14496.91895,7629.732794,26039.25892,7077.725806,14486.27975
Grand Total,22187.80206,12958.00537,7526.923495,43222.08606,6294.90625,23615.23122
